Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__E-7.png,M06__E-7_1_5692,,Tissue,Polygon,4762.7,4713.3,0.4548,182.2731,52.454,0.8325,1.0,21.1929,11.0709,0.0821,0.0836,0.0129,0.1634,0.0286,0.157,0.1494,0.099,0.2559,0.036,6,88.6561,75.4061,166.5576,31.448,3309.634,7851.2656,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.6413194,Others
M06__E-7.png,M06__E-7_1_924,,Tissue,Polygon,1751.0,5633.5,0.4548,125.4534,40.6155,0.9557,1.0,14.2201,11.1309,0.1287,0.1252,0.0439,0.2518,0.0406,0.1148,0.1181,0.0469,0.1937,0.0297,7,78.4915,94.0947,120.1977,21.5228,2329.3433,4992.667,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.76104856,Neutrophil
M06__E-7.png,M06__E-7_1_4525,,Tissue,Polygon,1086.4,1579.3,0.4548,157.9406,54.5979,0.6658,0.9901,24.0177,8.3479,0.0915,0.0948,-0.0008,0.1475,0.0271,0.1369,0.1353,0.0801,0.2002,0.0239,5,69.0434,63.9388,125.4624,13.8934,2436.28,6822.3315,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,1.0,Neutrophil
M06__E-7.png,M06__E-7_1_3924,,Tissue,Polygon,922.09,996.84,0.4547,32.8512,22.955,0.7834,1.0,9.2957,5.063,0.1793,0.203,0.0388,0.29,0.0603,0.0752,0.0705,0.0131,0.1734,0.034,7,93.1599,77.7798,169.6638,24.729,2546.3909,8582.2266,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.92628324,Neutrophil
M06__E-7.png,M06__E-7_1_2956,,Tissue,Polygon,2461.1,3536.8,0.454,587.5394,95.3452,0.8122,0.9877,37.7419,19.3804,0.0713,0.0688,0.0154,0.1325,0.0214,0.1874,0.1802,0.1154,0.2989,0.0433,7,82.7182,81.6745,137.9331,39.2442,2711.447,5406.2783,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.9607255,Tumor
M06__E-7.png,M06__E-7_1_890,,Tissue,Polygon,1020.1,676.05,0.4539,19.8972,17.4673,0.8195,1.0,6.7872,3.856,0.2432,0.2581,0.0851,0.4111,0.0785,0.0875,0.0855,0.0109,0.1501,0.0351,7,42.6665,46.0675,52.8371,24.9636,684.4276,1208.6567,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.86678946,Neutrophil
M06__E-7.png,M06__E-7_1_2687,,Tissue,Polygon,4582.5,1398.3,0.4537,122.279,47.7552,0.6738,0.8791,17.6537,10.5518,0.2035,0.1825,0.0469,0.5719,0.0882,0.1643,0.1458,0.0068,0.6796,0.1013,5,58.697,62.3382,85.7429,18.4882,1611.066,3177.6155,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.9997831,Neutrophil
M06__E-7.png,M06__E-7_1_2806,,Tissue,Polygon,4921.6,2557.1,0.4537,372.8414,78.2565,0.7651,0.9461,28.4195,17.7031,0.0915,0.0859,0.0259,0.2886,0.0356,0.0924,0.082,0.0385,0.2872,0.037,6,80.7366,82.3539,135.7537,21.7611,2228.9995,7796.0337,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.53335893,Others
M06__E-7.png,M06__E-7_1_1919,,Tissue,Polygon,2204.7,5214.6,0.4532,84.3337,34.1596,0.9082,1.0,12.9469,8.5484,0.1166,0.1087,0.0611,0.1984,0.0274,0.0593,0.0598,0.0078,0.1359,0.0199,7,64.5476,69.7065,80.0557,41.0847,1472.729,2472.5491,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.9991278,Neutrophil
M06__E-7.png,M06__E-7_1_4729,,Tissue,Polygon,2325.6,3585.6,0.4529,108.2574,42.2914,0.7606,0.9891,17.9094,8.0073,0.1134,0.1047,0.0249,0.2305,0.0452,0.1889,0.1988,0.0663,0.2545,0.0392,7,56.4792,49.28,105.0836,32.0446,1301.5066,3296.9324,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.51588726,Others
M06__E-7.png,M06__E-7_1_3711,,Tissue,Polygon,1529.7,605.66,0.4529,288.2325,66.5853,0.817,0.9878,26.7601,14.0264,0.1116,0.1097,0.0314,0.1836,0.0236,0.0745,0.0737,0.0319,0.1388,0.0159,5,77.2902,59.398,172.8371,25.7156,2580.4973,7811.7285,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.8686217,Macrophage
M06__E-7.png,M06__E-7_1_4591,,Tissue,Polygon,4664.4,3745.2,0.4526,41.6642,25.7139,0.7918,0.9729,10.3051,5.7791,0.1631,0.1178,-0.0217,0.5,0.1319,0.4001,0.2981,0.1404,2.003,0.2578,7,152.6863,119.2974,299.3656,36.9153,6795.4722,19778.6641,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.9281113,Neutrophil
M06__E-7.png,M06__E-7_1_2037,,Tissue,Polygon,2558.2,1694.3,0.4518,235.8226,55.4558,0.9636,1.0,19.47,15.9682,0.1,0.1019,0.0358,0.1865,0.0291,0.075,0.0699,0.0161,0.2225,0.0333,6,44.0782,44.5285,63.01,21.6489,727.2653,968.4775,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.87125593,Lymphocyte
M06__E-7.png,M06__E-7_1_1224,,Tissue,Polygon,2705.0,3137.8,0.4518,110.4948,47.1519,0.6245,0.9538,20.5126,7.0823,0.1558,0.154,0.0541,0.2825,0.0457,0.2243,0.2292,0.064,0.3724,0.0543,6,71.4577,65.4731,115.6409,33.9354,1923.8075,3021.1721,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.9943949,Neutrophil
M06__E-7.png,M06__E-7_1_2042,,Tissue,Polygon,1247.0,1213.7,0.4511,46.9019,25.2176,0.9268,1.0,8.9478,7.0861,0.1614,0.1602,0.0937,0.2304,0.0305,0.1129,0.1176,0.0226,0.1747,0.0402,4,59.8933,59.3259,112.0818,8.8396,1611.9088,4444.9438,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.9491172,Neutrophil
M06__E-7.png,M06__E-7_1_3998,,Tissue,Polygon,3840.5,2012.5,0.451,41.2203,23.5077,0.9374,1.0,7.9262,6.7959,0.1759,0.1704,0.0407,0.4,0.075,0.1232,0.1137,0.0292,0.2999,0.0617,4,79.4495,65.4619,132.825,54.0494,2813.9487,4831.5996,0.6667,233.476,56.2151,0.8235,0.9788,21.7921,12.7256,0.2302,0.2129,0.0418,0.5727,0.1076,0.1994,0.1847,0.029,0.5651,0.0933,5.9863,72.4206,69.1429,122.269,32.7074,2108.9646,4690.6631,6557,0.9404637,Neutrophil
