Image,Name,Class,Parent,ROI,Centroid X px,Centroid Y px,Detection probability,Area px^2,Length px,Circularity,Solidity,Max diameter px,Min diameter px,Hematoxylin: Mean,Hematoxylin: Median,Hematoxylin: Min,Hematoxylin: Max,Hematoxylin: Std.Dev.,Eosin: Mean,Eosin: Median,Eosin: Min,Eosin: Max,Eosin: Std.Dev.,Delaunay: Num neighbors,Delaunay: Mean distance,Delaunay: Median distance,Delaunay: Max distance,Delaunay: Min distance,Delaunay: Mean triangle area,Delaunay: Max triangle area,Cluster mean: Detection probability,Cluster mean: Area px^2,Cluster mean: Length px,Cluster mean: Circularity,Cluster mean: Solidity,Cluster mean: Max diameter px,Cluster mean: Min diameter px,Cluster mean: Hematoxylin: Mean,Cluster mean: Hematoxylin: Median,Cluster mean: Hematoxylin: Min,Cluster mean: Hematoxylin: Max,Cluster mean: Hematoxylin: Std.Dev.,Cluster mean: Eosin: Mean,Cluster mean: Eosin: Median,Cluster mean: Eosin: Min,Cluster mean: Eosin: Max,Cluster mean: Eosin: Std.Dev.,Cluster mean: Delaunay: Num neighbors,Cluster mean: Delaunay: Mean distance,Cluster mean: Delaunay: Median distance,Cluster mean: Delaunay: Max distance,Cluster mean: Delaunay: Min distance,Cluster mean: Delaunay: Mean triangle area,Cluster mean: Delaunay: Max triangle area,Cluster size,Max Prediction Probability,Class Type
M06__H-3.png,M06__H-3_1_569,,Tissue,Polygon,5576.6,701.82,0.7195,44.3252,24.6566,0.9162,1.0,9.0738,6.3733,0.3018,0.2781,0.1236,0.4763,0.091,0.3088,0.2585,0.0254,0.9436,0.228,5,42.7447,23.2391,99.5278,21.7836,562.1442,1000.104,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.5805317,Others
M06__H-3.png,M06__H-3_1_2751,,Tissue,Polygon,103.98,3723.1,0.7195,108.7642,41.0986,0.8092,0.9852,16.7677,8.7399,0.2488,0.2562,0.067,0.3552,0.0593,0.3528,0.346,0.2309,0.5066,0.0551,6,25.5728,26.3556,31.9191,17.3064,212.7414,313.4957,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.8073255,Lymphocyte
M06__H-3.png,M06__H-3_1_1667,,Tissue,Polygon,4756.7,1131.6,0.7195,190.3252,58.4056,0.7011,0.953,24.3171,9.654,0.6571,0.6874,0.0446,1.3392,0.3035,0.5278,0.4216,0.0161,1.6223,0.4203,7,53.5341,56.9364,82.9021,14.6593,934.7216,2207.1025,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.5561978,Others
M06__H-3.png,M06__H-3_1_5151,,Tissue,Polygon,6020.7,5056.4,0.7194,112.2433,38.4709,0.953,1.0,13.4698,10.5989,0.1766,0.1794,0.0488,0.297,0.07,0.2784,0.2725,0.212,0.383,0.0281,6,35.8552,39.8282,48.8926,20.3543,467.0863,644.0558,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.9155906,Lymphocyte
M06__H-3.png,M06__H-3_1_266,,Tissue,Polygon,6099.5,556.36,0.7194,229.5684,55.8777,0.9239,0.9847,19.249,16.0935,0.4241,0.4477,0.0849,0.7397,0.1685,1.0222,0.9073,0.4257,1.9122,0.3886,5,20.5857,17.5616,28.7257,13.6045,181.877,373.8393,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.91432536,Lymphocyte
M06__H-3.png,M06__H-3_1_2933,,Tissue,Polygon,1076.5,1157.7,0.7194,91.3964,39.9599,0.7193,1.0,17.243,6.9574,0.3058,0.2922,0.1167,0.5695,0.107,0.249,0.2412,0.0294,0.7166,0.1489,8,84.2615,86.0174,151.7493,20.7024,2150.5027,7489.1294,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.82525027,Lymphocyte
M06__H-3.png,M06__H-3_1_1549,,Tissue,Polygon,4342.8,4135.3,0.7193,390.3108,77.8839,0.8086,0.9785,31.0597,16.4814,0.3731,0.3361,0.0683,1.1324,0.1708,0.1737,0.1375,0.0331,1.3881,0.13,13,258.7416,155.5435,448.2232,49.9335,15809.1143,61654.9883,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.81788146,Tumor
M06__H-3.png,M06__H-3_1_2693,,Tissue,Polygon,3550.2,4786.9,0.7193,125.4354,42.0968,0.8895,1.0,16.108,9.9893,0.1814,0.1554,0.0724,0.3756,0.0744,0.125,0.1098,0.0521,0.2781,0.0547,6,67.5014,67.2681,107.5785,27.3937,1494.7178,3690.3164,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.99688834,Lymphocyte
M06__H-3.png,M06__H-3_1_2927,,Tissue,Polygon,1082.2,4491.1,0.7192,82.3548,34.4839,0.8703,1.0,13.4343,7.9482,0.3126,0.3056,0.0737,0.4517,0.0716,0.5436,0.5089,0.2006,1.3805,0.2081,5,30.5414,32.4462,44.7435,18.125,435.3439,687.8212,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.62396944,Others
M06__H-3.png,M06__H-3_1_2069,,Tissue,Polygon,3647.7,4858.4,0.7192,122.9484,41.0201,0.9182,1.0,15.1814,10.2939,0.1624,0.1605,0.0421,0.2808,0.0451,0.7463,0.6799,0.5318,1.923,0.2383,4,43.793,43.679,74.4232,13.3909,807.313,1789.5265,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.9151281,Lymphocyte
M06__H-3.png,M06__H-3_1_6183,,Tissue,Polygon,6196.3,4891.0,0.7191,177.3804,50.1304,0.887,1.0,19.2665,12.6188,0.2683,0.2685,0.0825,0.4769,0.0811,0.1996,0.1952,0.0793,0.3657,0.0517,6,35.1862,33.9374,54.4215,15.915,456.5626,1009.5336,0.6808,195.259,52.8419,0.7979,0.9731,20.6932,11.5288,0.3799,0.3658,0.0752,0.8379,0.16,0.3206,0.2913,0.0316,0.9315,0.1696,5.9899,64.9811,59.8687,116.0394,26.1908,1949.656,5413.6743,8344,0.86862427,Lymphocyte
